Guard
Chicken
Pig
Deer
Cow
Sheep
Claw Cat
Wolf
Forest Yeti
Chestnut Tree
Carnivorous Plant
Oma Warrior
Tiger Snake
Spitting Spider
Scarecrow
Oma
Oma Hero
Cave Bat
Scorpion
Skeleton Axeman
Skeleton
Skeleton Axe Thrower
Skeleton Warrior
Skeleton Lord
Cave Maggot
GhostSorcerer
Ghost Mage
Voracious Ghost
Devouring Ghost
Corpse Raising Ghost
Ghoul Champion
Ant Soldier
Ant Healer
Ant Needler
Armoured Ant
Ant Commander
Beetle
Corpse Devourer
Visceral Worm
Mutant Flea
Poisonous Mutant Flea
Blaster Mutant Flea
Terror Spike
Wasp Hatchling
Centipede
Butterfly Worm
Mutant Maggot
Earwig
Iron Lance
Lord Ji'Nae
Rotting Ghoul
Decaying Ghoul
Blood Thristy Ghoul
Blood Thristy Zombie
Spined Dark Lizard
Uma Infidel
Uma Flame Thrower
Uma Anguisher
Uma King
Spider Bat
Arachnid Gazer
Larva
Red Moon Guardian
Red Moon Protector
Venomous Arachnid
Dark Arachnid
Arachnid Broodmother
Red Moon Royal Guard
Red Moon The Fallen
Zuma Sharpshooter
Zuma Fanatic
Zuma Guardian
Vicious Rat
Zuma Keeper
Zuma King
Evil Fanatic
Monkey
Evil Monkey
Evil Elephant
Cannibal Fanatic
Crazed Warrior
Spiked Beetle
Numa Grunt
Numa Mage
Numa Elite
Sand Shark
Stone Golem
Windfury Sorceress
Cursed Cactus
Netherworld Gate
Raging Lizard
Numa Elder Shaman
Saw Tooth Lizard
Venom Spitter
Sonic Lizard
Giant Lizard
Crazed Lizard
Tainted Terror
Death Lord Jichon
Mutant Lizard
Minotaur
Frost Minotaur
Banya Right Guard
Shock Minotaur
Banya Left Guard
Fury Minotaur
Flame Minotaur
Banya Guardian
Emperor Sa'Woo
Bone Archer
Bone Bladesman
Bone Captain
Bone Soldier
Skeleton Enforcer
Arch Lich Taedu
Wedge Moth Larva
Lesser Wedge Moth
Wedge Moth
Red Boar
Claw Serpent
Black Boar
Tusk Lord
Razor Tusk
Pink Goddess Of Black Palace
Green Goddess Of Black Palace
Mutant Captain
Stone Griffin
Flame Griffin
Black Palace Warlord
Pink Goddess Of Underground
Vicious Mutant Captain
Green Goddess Of Underground
Jinchon Warlord
SummonPuppet
Apparition Archer
Apparition Bladesman
Apparition Soldier
Skeleton
Jin Skeleton
Shinsu
Infernal Soldier
MirrorImage
Corpse Stalker
Light Armed Soldier
Corrosive Poison Spitter
Phantom Soldier
Mutated Octopus
Aqua Lizard
Stomper
Crimson Necromancer
Chaos Knight
Pachon The Chaos bringer
Numa Cavalry
Numa High Mage
Numa Stone Thrower
Numa Royal Guard
Numa Armored Soldier
Numa Assault Captain
Icy Ranger
Icy Goddess
Icy Spirit Warrior
Icy Spirit General
Ghost Knight
Icy Spirit Spearman
Werewolf
Whitefang
Icy Spirit Solider
Wild Boar
Jinam Stone Gate
Frost Lord Hwa
Bloody Armed Beetle
Golden Armored Beetle
Earwig King
Mature Earwig
Millipede
Enraged Lord Ji'Nae
Banyo Soldier
Banyo Warrior
Banyo Captain
Banyo Lord Guzak
Pig
Tusk Lord
Skeleton Lord
Griffin
Dragon
Donkey
Sheep
Pachon 
Panda
Rabbit
Jinchon Devil
Black Palace Demon
Brass Feral Warrior
Obsidian Feral Warrior
Sun Feral Warrior
Moon Feral Warrior
Ox Feral General
Flame Demon
Winged Horror
Enraged Emperor Sa'Woo
Ferocious Flame Demon
Oma Warlord
Goru Spearman
Goru Archer
Goru General
Enraged Arch Lich Taedu
Escort Commander
Fiery Dancer
Emerald Dancer
Queen Of Dawn
Sabuk Lord
Oyoung Beast
Yumgon Witch
Ma Warden
Ma Warlord
Jinhwan Spirit
Jinhwan Guardian
Oyoung General
Yumgon General
Chiwoo General Of East
Chiwoo General Of West
Dragon Queen Jin'Ru
Dragon Lord Jin'Ryung
Ferocious Ice Tiger
Escort Commander
Sama Cursed Bladesman
Sama Cursed Flame Mage
Sama Cursed Slave
Sama Fire Guardian
Sama Ice Guardian
Sama Lightning Guardian
Sama Wind Guardian
Black Sama
Blue Sama
Phoenix Sama
White Tiger Sama
Enshrinement Box
Sama Prophet
Sama Sorcerer
Blood Stone
Life Stone
Dark Stone
Young Tiger
Tiger
Blood Tiger
Blizzard Tiger
Dark Tiger
Elder Dark Tiger
Elder White Tiger
Tiger General
Tiger War Lord
Wild Elephant
Wild Monkey
Wild Fanatic
Frost Yeti
Evil Snake
Salamander
Sand Golem
Oma Mage
Crystal Golem
Dust Devil
Twin Tail Scorpion
Bloody Mole
Imp
Ettin
Centurion
Rot Wraith
Cotoblepas
Azog
Urukhia
Gang Spider
Venom Spider
Chubarak
Doom Claw
Zauhk Spawn
Shell Spliter
Ember Mage
Bobbit Worm
Cobalt Golum
Shimmer Wings
Vex Wings
Rot Wraith
Rot Wraith
Ember SpearMan
Kongeegen
Adamantoise
Zauhk
MonasteryRaisingGhost
MonasteryGhoul
MonasterySorcer
MonasteryVoracious
MonasteryDevour
Sumerian
Sacrifice
Enheduanna
Quadishtu
Sumerian King
Puabi
Bobbit Bobbit
